nr,lat_orig,lon_orig,hell_orig,rdx_orig,rdy_orig,nap_orig,lat_calc,lon_calc,hell_calc,rdx_calc,rdy_calc,nap_calc,lat_diff,lon_diff,hell_diff,rdx_diff,rdy_diff,nap_diff
30018473,53.918682246,2.136287052,144.7677,-58575.8938,664096.2759,102.4689,53.919866245,2.136217704,102.4689,-58577.3173,663964.3794,144.7677,-0.001183999,0.000069348,42.2988,1.4235,131.8965,-42.2988
30018474,50.291369846,0.079579893,116.0549,-223072.2617,269310.2541,inf,inf,inf,inf,-223056.4635,269225.8916,116.0549,-inf,-inf,-inf,-15.7982,84.3625,inf
30018475,54.001673741,-2.020010647,251.1314,-330175.7181,693602.2268,inf,inf,inf,inf,-330142.9683,693468.8686,251.1314,-inf,-inf,-inf,-32.7498,133.3582,inf
30018476,55.544745801,8.555472085,88.3846,355101.3589,844813.5574,inf,inf,inf,inf,355049.6979,844656.8246,88.3846,-inf,-inf,-inf,51.6610,156.7328,inf
30018477,52.742611345,-1.738339820,306.9941,-325649.5411,552087.9745,inf,inf,inf,inf,-325618.5610,551971.2478,306.9941,-inf,-inf,-inf,-30.9801,116.7267,inf
30018478,56.729261082,-0.079344865,231.4058,-179874.7380,985395.7619,inf,inf,inf,inf,-179858.2752,985226.7168,231.4058,-inf,-inf,-inf,-16.4628,169.0451,inf
30018479,48.375608079,3.323324840,65.3202,1964.9306,44589.5389,inf,inf,inf,inf,1950.7989,44529.6100,65.3202,-inf,-inf,-inf,14.1317,59.9289,inf
30018480,49.512228728,0.462894909,177.2340,-201591.4944,180850.3891,inf,inf,inf,inf,-201579.1147,180776.1687,177.2340,-inf,-inf,-inf,-12.3797,74.2204,inf
30018481,50.153470986,-0.629693038,151.5623,-274779.1127,257899.4357,inf,inf,inf,inf,-274756.9632,257816.7713,151.5623,-inf,-inf,-inf,-22.1495,82.6644,inf
30018482,53.303422149,-0.056054794,23.0956,-207636.6706,604489.7164,inf,inf,inf,inf,-207619.9760,604365.9749,23.0956,-inf,-inf,-inf,-16.6946,123.7415,inf
30018483,56.498600694,4.951120915,217.4166,128105.8818,946741.7479,inf,inf,inf,inf,128083.4860,946574.8504,217.4166,-inf,-inf,-inf,22.3958,166.8975,inf
30018484,53.860667378,-0.189022061,256.4338,-211669.1172,667058.9158,inf,inf,inf,inf,-211651.3892,666927.8305,256.4338,-inf,-inf,-inf,-17.7280,131.0853,inf
30018485,54.751722133,0.355083528,240.4265,-168953.8040,763444.2088,inf,inf,inf,inf,-168940.5949,763301.4192,240.4265,-inf,-inf,-inf,-13.2091,142.7896,inf
30018486,52.493203424,0.103913372,109.9739,-203592.4113,513704.9462,inf,inf,inf,inf,-203576.9884,513591.8497,109.9739,-inf,-inf,-inf,-15.4229,113.0965,inf
30018487,55.487272566,-2.874080399,280.0914,-366775.5669,864367.1952,inf,inf,inf,inf,-366736.7866,864213.8998,280.0914,-inf,-inf,-inf,-38.7803,153.2954,inf
30018488,55.213749037,6.191896667,75.1183,206251.7499,803756.9708,34.1905,55.215097353,6.192447428,34.1905,206218.3767,803606.4008,75.1183,-0.001348316,-0.000550761,40.9278,33.3732,150.5700,-40.9278
30018489,49.954153365,1.229034438,311.7125,-143382.5112,226555.6382,inf,inf,inf,inf,-143377.0090,226475.6750,311.7125,-inf,-inf,-inf,-5.5022,79.9632,inf
30018490,53.297973361,-1.601797322,127.9724,-310470.0203,612784.2905,inf,inf,inf,inf,-310440.4184,612660.3174,127.9724,-inf,-inf,-inf,-29.6019,123.9731,inf
30018491,54.046966218,-1.836595552,89.2199,-317683.1559,697397.6935,inf,inf,inf,inf,-317651.9331,697263.7986,89.2199,-inf,-inf,-inf,-31.2228,133.8949,inf
30018492,57.420594588,-1.461816199,76.7264,-256860.4563,1069659.5707,inf,inf,inf,inf,-256833.6467,1069481.0646,76.7264,-inf,-inf,-inf,-26.8096,178.5061,inf
30018493,56.169095489,8.863229903,180.8679,371110.4072,915243.3904,inf,inf,inf,inf,371057.3265,915078.1444,180.8679,-inf,-inf,-inf,53.0807,165.2460,inf
30018494,47.547461247,8.251813700,99.1314,370931.6242,-45596.9967,inf,inf,inf,inf,370870.7329,-45649.5185,99.1314,-inf,-inf,-inf,60.8913,52.5218,inf
30018495,51.654334084,0.222863695,123.5002,-202169.1460,419954.5125,inf,inf,inf,inf,-202154.6904,419852.3989,123.5002,-inf,-inf,-inf,-14.4556,102.1136,inf
30018496,56.217994201,2.382984563,263.4955,-31561.4774,919343.7088,inf,inf,inf,inf,-31564.1251,919181.3689,263.4955,-inf,-inf,-inf,2.6477,162.3399,inf
30018497,50.396357748,-1.773444482,56.2611,-353680.9676,292161.1758,inf,inf,inf,inf,-353648.6947,292075.0675,56.2611,-inf,-inf,-inf,-32.2729,86.1083,inf
30018498,48.262479309,5.350535308,313.2910,152275.6227,29877.0118,inf,inf,inf,inf,152242.6213,29817.5961,313.2910,-inf,-inf,-inf,33.0014,59.4157,inf
